2,3,True,False
0,0,95716,17222809
1,0,39722,3310226
2,1,6553,431541
4,6,706,55218
3,3,1806,118479
2,0,11915,687391
-1,0,0,0
3,1,3878,183868
-2,0,0,0
6,15,350,32016
4,3,1024,45288
3,12,0,0
6,10,212,9595
5,10,373,34259
7,21,218,21755
4,5,48,1414
6,11,42,976
2,7,0,0
1,7,0,0
1,2,0,0
4,10,0,0
-2,-1,0,0
1,1,0,0
3,2,374,12551
5,6,383,18131
4,4,224,6180
3,0,3374,152037
5,7,67,1968
4,1,1609,63676
2,3,0,0
3,4,0,0
5,4,313,10434
2,2,0,0
4,2,600,21129
0,1,0,0
2,5,0,0
0,2,0,0
0,-1,0,0
5,8,39,890
6,8,51,880
8,28,222,17411
1,-1,0,0
3,5,0,0
14,91,85,5524
9,36,180,12022
6,7,111,3800
7,28,0,0
7,7,91,2376
-3,-1,0,0
7,9,53,1517
8,9,25,729
-1,-1,0,0
10,45,119,9270
6,14,6,121
8,12,25,634
7,11,64,2089
-1,1,0,0
8,21,93,4990
6,13,12,256
2,8,0,0
2,4,0,0
5,11,0,0
-4,-5,0,0
-1,-2,0,0
80,3160,1,110
8,11,41,1086
81,3161,0,1
9,11,25,485
5,9,15,392
5,5,76,1802
7,10,93,3004
7,12,17,468
6,12,18,374
7,17,6,165
58,1653,1,127
59,1653,0,4
8,18,12,214
2,6,0,0
62,1659,0,1
6,3,211,6081
59,1654,0,1
3,6,0,0
10,20,7,178
9,18,17,471
7,15,142,8041
42,861,2,139
-2,-2,0,0
43,861,0,8
12,19,2,52
44,862,0,0
43,864,0,0
43,862,0,1
32,496,5,351
33,496,3,35
5,3,475,16418
5,2,383,12483
11,18,5,121
8,13,24,785
10,17,15,166
31,496,0,0
9,16,33,1019
8,8,34,559
10,9,14,172
33,499,0,0
9,8,12,359
9,13,17,438
34,497,0,6
6,4,213,6036
37,506,0,1
33,497,0,3
11,13,9,105
34,416,0,0
4,7,0,0
33,412,0,1
30,406,1,15
13,13,5,15
12,13,4,40
13,15,1,20
1,3,0,0
12,15,1,50
29,406,9,285
31,407,1,7
31,406,0,0
30,408,0,0
32,407,0,1
30,407,0,2
6,9,30,960
4,8,0,0
3,7,0,0
7,4,100,2745
28,406,0,0
8,14,6,174
9,14,11,157
32,409,0,1
34,413,0,1
32,412,0,1
31,409,0,1
27,351,5,306
32,358,0,1
6,6,213,7114
29,354,1,6
31,355,0,0
10,16,17,440
28,351,0,18
8,6,38,929
29,352,0,4
29,351,0,1
30,357,0,0
7,6,85,2681
7,8,43,764
-3,0,0,0
28,352,0,1
30,354,0,5
31,354,0,0
30,352,0,1
31,361,0,1
16,120,38,2203
18,121,4,81
19,123,1,26
20,130,0,1
19,122,0,3
20,122,0,7
19,121,1,28
17,120,11,323
20,124,1,2
21,130,0,0
6,2,182,5381
18,120,3,64
8,2,31,619
7,2,93,1928
6,1,216,5655
7,13,27,486
5,0,261,7563
