2,3,True,False
0,0,13114,1988614
1,0,1780,133097
2,1,136,9966
11,55,0,72
9,36,0,14
8,28,1,26
6,15,5,224
3,1,25,1061
3,3,49,3247
4,3,8,233
4,6,19,1480
2,0,187,8723
5,6,4,93
7,15,0,11
5,10,12,758
6,10,0,49
3,0,16,552
7,21,2,52
7,9,0,11
6,6,0,19
5,4,4,48
4,2,1,87
6,7,0,16
8,13,0,4
7,11,0,6
5,3,0,25
7,10,1,4
3,2,0,50
4,1,4,93
-1,0,0,0
-2,0,0,0
8,21,1,1
4,0,0,51
5,1,0,14
1,1,0,0
5,2,0,5
6,4,0,12
7,6,0,2
2,3,0,0
8,16,0,1
7,7,0,2
8,11,0,1
2,2,0,0
8,9,0,2
4,4,1,1
3,6,0,0
4,7,0,0
2,6,0,0
1,5,0,0
0,5,0,0
2,5,0,0
-2,-1,0,0
4,5,0,1
3,4,0,0
1,2,0,0
1,-1,0,0
6,2,0,0
5,5,0,4
5,0,0,0
0,1,0,0
0,-1,0,0
6,3,0,0
-1,-2,0,0
-3,0,0,0
-1,-1,0,0
-4,-2,0,0
