2,3,True,False
0,0,15231,2100359
1,0,1310,88184
11,55,0,12
9,36,0,14
2,1,91,5823
7,21,1,21
5,10,8,151
4,6,10,405
3,3,20,1412
3,1,8,425
2,0,100,3731
6,15,5,116
7,15,0,5
5,6,2,26
4,3,3,111
8,16,0,1
10,21,0,1
11,27,0,1
11,25,0,0
6,10,0,3
10,20,0,1
7,11,0,1
6,7,0,2
4,2,0,24
6,4,0,1
5,2,0,0
5,4,0,8
6,6,0,1
3,0,3,129
5,3,0,3
4,1,0,9
-1,0,0,0
1,1,0,0
-2,0,0,0
4,0,1,5
5,1,0,2
7,10,0,1
3,2,2,19
7,7,0,1
0,1,0,0
2,3,0,0
2,2,0,0
4,4,0,3
-2,-1,0,0
-1,-1,0,0
0,-1,0,0
6,2,0,3
6,1,0,0
5,0,0,1
1,2,0,0
1,-1,0,0
0,-2,0,0
-1,-2,0,0
-3,0,0,0
