2,3,4,True,False
0,0,0,14805,2081569
1,0,0,1449,96064
2,0,0,109,4341
11,55,165,0,12
8,28,56,0,30
6,15,20,0,26
2,1,0,99,6593
5,10,10,4,229
4,6,4,16,842
3,3,1,27,1464
5,6,4,2,36
3,1,0,17,587
7,21,35,1,15
6,10,10,0,5
3,0,0,10,194
4,3,1,5,103
4,2,0,1,37
5,4,1,0,9
5,3,1,0,4
4,1,0,1,31
6,6,4,0,2
-1,0,0,0,0
1,1,0,0,0
5,2,0,0,3
-2,0,0,0,0
7,11,10,0,1
4,0,0,0,7
5,1,0,0,3
6,7,4,0,3
3,2,0,0,11
7,9,5,0,0
7,7,4,0,0
6,1,0,0,1
2,3,1,0,0
2,2,0,0,0
1,2,0,0,0
0,1,0,0,0
-2,-1,0,0,0
-1,-1,0,0,0
2,2,1,0,0
0,-1,0,0,0
4,4,1,0,1
6,4,1,0,0
-3,0,0,0,0
-3,-2,0,0,0
-4,-2,0,0,0
6,3,0,0,0
-1,-2,0,0,0
4,3,0,0,0
5,0,0,0,0
7,3,0,0,0
-2,-2,0,0,0
6,2,0,0,0
-1,1,0,0,0
