2,3,4,True,False
0,0,0,14628,2075118
1,0,0,1466,98394
2,0,0,121,4615
11,55,165,0,12
9,36,84,0,14
6,15,20,0,76
4,6,4,14,773
5,10,10,7,261
2,1,0,103,6702
3,1,0,9,540
3,3,1,38,1732
4,3,1,2,97
5,6,4,1,51
5,4,1,1,20
7,11,10,0,1
6,10,10,1,15
6,4,1,0,3
5,3,1,0,10
3,0,0,7,218
4,2,0,2,31
4,1,0,1,61
7,15,20,0,2
-1,0,0,0,0
1,1,0,0,0
4,0,0,0,10
5,1,0,0,10
3,2,0,0,16
6,6,2,0,2
7,7,4,0,1
5,2,0,1,1
6,7,4,0,1
7,21,35,0,1
2,3,1,0,0
-2,0,0,0,0
0,-1,0,0,0
2,2,1,0,0
4,3,0,0,2
6,3,0,0,0
2,2,0,0,0
4,4,1,0,2
4,5,2,0,1
5,6,2,0,0
-2,-1,0,0,0
-3,-1,0,0,0
6,2,0,0,1
5,0,0,0,0
1,-1,0,0,0
1,2,1,0,0
-1,-1,0,0,0
-3,-2,0,0,0
-4,-2,0,0,0
0,-2,0,0,0
0,1,0,0,0
-1,-2,0,0,0
2,-1,0,0,0
5,3,0,0,0
