UID,resignDate,validSince,validUntil,cliqueSize,vertexDegree,nextOffenseDate,invalidatedBy
117161,2017-03-31,1987-03-09,1990-01-01,0,0,1990-01-01,C186392
122159,2000-01-15,1980-06-23,1990-01-02,0,0,1990-01-02,C173098
100129,1996-04-02,1974-02-19,1990-01-05,0,0,1990-01-05,C173156
106440,2006-03-25,1987-03-09,1990-01-05,0,0,1990-01-05,C173157
127362,2012-10-15,1987-04-13,1990-01-24,0,0,1990-01-24,C183377
116412,2013-08-12,1983-02-14,1990-02-05,0,0,1990-02-05,C173844
106120,1991-04-13,1987-12-07,1990-02-13,0,0,1990-02-13,C173909
101199,2008-07-19,1986-08-11,1990-03-01,0,0,1990-03-01,C181468
127086,2006-11-15,1986-06-16,1990-03-07,0,0,1990-03-07,C174303
103284,2012-02-15,1980-01-28,1990-03-07,0,0,1990-03-07,C174307
116457,1997-07-14,1986-10-13,1990-03-08,0,0,1990-03-08,C174344
116467,1991-03-13,1981-04-13,1990-03-15,0,0,1990-03-15,C174516
105944,2011-08-15,1986-12-22,1990-03-18,0,0,1990-03-18,C174585
128203,2016-04-15,1986-10-13,1990-04-10,0,0,1990-04-10,C175083
103284,2012-02-15,1990-03-07,1990-04-14,2,1,1990-04-14,C175261
116394,2004-02-15,1976-10-18,1990-04-17,0,0,1990-04-17,C175234
113230,2006-09-15,1978-02-27,1990-04-19,0,0,1990-04-19,C196512
117455,2014-03-15,1986-11-17,1990-04-24,0,0,1990-04-24,C175409
118903,2008-02-29,1982-08-30,1990-05-15,0,0,1990-05-15,C191663
116301,2016-05-15,1982-06-14,1990-06-02,0,0,1990-06-02,C176301
101967,2004-08-23,1976-03-08,1990-06-02,0,0,1990-06-02,C191545
108676,2017-08-15,1987-02-02,1990-06-15,0,0,1990-06-15,C179412
103184,2001-09-28,1987-03-09,1990-06-22,0,0,1990-06-22,C176748
132108,9999-12-31,1987-12-07,1990-06-26,0,0,1990-06-26,C176854
100282,1997-09-03,1975-05-16,1990-06-27,0,0,1990-06-27,C176888
122294,2010-04-15,1980-02-11,1990-07-02,0,0,1990-07-02,C179476
109899,2017-05-15,1986-06-16,1990-07-07,0,0,1990-07-07,C180842
103298,2011-05-15,1980-06-23,1990-07-17,0,0,1990-07-17,C188614
118294,2010-04-15,1976-10-18,1990-07-17,0,0,1990-07-17,C188614
103168,2005-08-03,1975-05-16,1990-07-18,0,0,1990-07-18,C177463
122185,9999-12-31,1987-12-07,1990-07-18,0,0,1990-07-18,C177463
127399,2014-08-16,1987-03-09,1990-07-26,0,0,1990-07-26,C177664
122199,9999-12-31,1986-06-16,1990-07-30,0,0,1990-07-30,C177774
