2,3,True,False
0,0,14533,2066663
1,0,1490,102229
11,55,0,12
8,28,0,15
6,15,4,98
7,21,0,33
2,1,95,6778
3,3,37,1988
4,3,4,140
2,0,116,5178
4,6,18,909
3,1,16,636
5,6,0,47
5,10,5,248
7,15,0,1
8,21,0,1
6,10,2,8
3,0,9,228
6,6,0,5
5,4,1,12
4,2,0,41
-1,0,0,0
4,1,0,35
5,3,0,5
-2,0,0,0
1,1,0,0
4,0,0,6
6,7,0,3
8,13,0,1
6,4,1,0
7,10,0,1
5,1,0,1
2,3,0,0
3,2,0,13
0,1,0,0
3,5,0,0
1,-1,0,0
7,5,0,0
5,5,0,1
4,4,2,2
6,5,0,0
8,5,0,0
4,5,0,1
7,4,0,0
6,2,0,0
5,2,0,1
0,-1,0,0
2,2,0,0
-2,-1,0,0
1,2,0,0
-1,-2,0,0
-4,-2,0,0
-3,0,0,0
5,0,0,0
-5,-2,0,0
-3,-1,0,0
-1,1,0,0
