mu,score,cross-score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
0.0,0.4946849529368944,nan,0.007700817453186737,-0.002536946520844907,0.0023711346162824665,-0.002829305163025264,0.003676182092161695,-0.003838352387734334,0.002852515721857518,-0.0014623813338179303,0.0004708495549570202,-7.383236683700112e-05
0.01,0.4665687617969304,nan,0.0033141687086315486,0.0022102814506467228,-0.0013469172480393699,-0.0007291854731605873,0.0030334255730869453,-0.004583510341387376,0.00480248153964935,-0.0037557050335337294,0.002007074951919652,-0.0005751172134567106
0.02,0.42733018852859384,nan,0.004045052221386292,0.00329087492009561,-0.0028033513741909655,0.002844346900570782,-0.0038103299527179058,0.004725776607270693,-0.004592655592978945,0.003297120978011936,-0.0016592867904323683,0.00045136371017229227
0.03,0.5946142106775532,nan,0.004552020719664762,0.003914037443900953,-0.0026015315076231005,0.0007315575230827376,0.0008012372735090034,-0.0012004450713345438,0.0011391192757743696,-0.0014582702586618534,0.0018680314424796007,-0.001417814137623763
0.04,0.6617803688415114,nan,0.004954676804114766,0.004322371168022143,-0.003122679160622255,0.0012275293767280981,0.0019056119444256225,-0.005853165127252868,0.009797312434830951,-0.012857118456925498,0.012534759890706848,-0.007612352455482974
0.05,0.7366479364019081,nan,0.00529017150986788,0.004826230983322688,-0.0052288421308333,0.006250584166590745,-0.00935675191340013,0.015308970617389006,-0.019682068220189253,0.012783073565075798,0.005639826693398797,-0.01898976552578624
0.06,0.8159593808544048,nan,0.0055256953295576006,0.005099624701475403,-0.004310345318401243,0.0003412652973883157,0.009983044789225737,-0.029323562026098537,0.05621489665531021,-0.09593470252860015,0.10374019945987434,-0.0834721935163436
0.07,0.7934677611112004,nan,0.005697818041377922,0.005634317098174635,-0.0036589841665513045,0.0006472224606980381,0.00374113008634136,-0.007772459990042169,0.009900689341377111,-0.011508577259176755,0.014906134710733876,-0.01710658349279992
0.08,0.8584101571283298,nan,0.005923903091003768,0.005537308946645836,-0.0021975427624525423,-0.0028527863104608198,0.00892512625363917,-0.013740605192614996,0.014808474629514401,-0.013466650257874857,0.010422715911549751,-0.006147328920067752
0.09,0.9430013759516003,nan,0.006022361057154035,0.006136359386891388,-0.0052396179910028096,0.0026560387226073345,0.004060355225900758,-0.012650860376979711,0.01883063249059702,-0.021070957781825772,0.015753096107807396,-0.005116407973117187
0.1,0.8834106524496268,nan,0.006154403190214985,0.0061409098029623355,-0.004533467749072262,7.02128405519753e-05,0.008259967004159985,-0.016039759255558783,0.016564495399420398,-0.01124775470620376,0.011044891605225593,-0.023290067242316193
0.11,0.8058337734017094,nan,0.006326811941163801,0.006340434410241125,-0.008236073324213056,0.01364992409120469,-0.021282424459625693,0.031130147268538688,-0.04775122480624305,0.059197366200209434,-0.05943437745270419,0.02487612471379308
0.12,0.9245969907333123,nan,0.006419065695556614,0.0063574997205664285,-0.005924519701603348,0.006069210984929296,-0.008121638905096429,0.016658131629602613,-0.030814880792541022,0.036928051055275746,-0.029469402254086008,0.009924178897183222
0.13,0.7896780037840002,nan,0.006442259729380839,0.007159205842933725,-0.0067574352071095856,0.006310664997013382,-0.0015239824837716132,-0.0044249862751923885,0.002543501178295826,0.019936546031807834,-0.06567653242708027,0.07782396631494204
0.14,0.8635117623219903,nan,0.006584304815091424,0.006649132457666185,-0.004965138080398335,0.0016763311379855983,0.0037549945222563608,0.0011089852682405477,-0.026725511715885553,0.05295699650055319,-0.039553471250201255,-0.037337814875637365
0.15,0.9022530956673085,nan,0.006629192363711733,0.007206066949663303,-0.007364872882712037,0.0059803637482400696,0.006371784990263252,-0.03701449301433635,0.08125279243331096,-0.15375267150387084,0.1664738729078613,-0.1563586057032038
0.16,0.9090957079386193,nan,0.006721987321202771,0.00685435591561212,-0.005992465467611341,0.00582890014199422,-0.00929424888608077,0.026919581670814985,-0.06456932528327286,0.10044239773166419,-0.21807044937972808,0.3210750634613111
0.17,0.8175022893498805,nan,0.006789315597062973,0.007041973947826796,-0.005937996965621695,0.002098127915637016,0.01826467591833525,-0.08121173732839893,0.18675980515655743,-0.5121859317971922,0.46434884306878543,-0.8470543157683978
0.18,0.9370271251749889,nan,0.006863891887371132,0.006875309380952821,-0.004429879477820808,0.004633005680116042,-0.007990730064518337,0.01112904060219666,0.009594689321929417,-0.07673447297721347,0.08374008666578747,0.04206596440505195
0.19,0.8297163676501251,nan,0.006889014103562796,0.007310274848369991,-0.006755795469091996,0.006247397980052138,-0.0012929646401356187,-0.005940938115360561,-0.0075962427780371655,0.14389119710298737,-1.3090808946746475,0.8874004491135536
0.2,0.8679816872314745,nan,0.006924810769816658,0.007434180521593836,-0.00614814889984161,0.008456885219532695,-0.01705024541782474,0.05844076101924245,-0.23813551630224183,0.44826091783440236,-2.6763779033479813,0.8185253771681206
0.21,0.8937927393521116,nan,0.006986038448412613,0.007759172820445692,-0.008328295311506695,0.01103409049078552,-0.018098023078297887,0.04462034593976172,-0.1086981288371196,0.14377279262089293,-0.13390263828620097,0.00990403416814345
0.22,0.8254264695484889,nan,0.00701742249532511,0.0075882304492314034,-0.0063032242397009774,0.0070276529012581745,-0.007414747057470805,0.03115487831015895,-0.1741316477071213,0.41862173567713945,-2.4300886097148746,0.7886021132276458
0.23,0.9687889832414691,nan,0.0070658706029977925,0.007257328903551574,-0.005899620305584774,0.0029969319362537217,0.006878208648654738,-0.039227864128611456,0.12010763738351016,-0.2326612762627347,0.10882622799414576,0.10566346626654666
0.24,0.8849166995847404,nan,0.00711354257558805,0.007975518666456405,-0.004281183326718896,-0.003024745081466884,0.016309124976730094,-0.027642183171374013,0.009930078122065034,0.057247730612810854,-0.17069096855076005,0.16240898579886698
0.25,0.7846998960386293,nan,0.007129967123442715,0.007289261583934503,-0.004789339345321775,0.0016237733414120603,0.012150397126323487,-0.060999882495855307,0.20429298918172456,-0.9426407767932088,0.7409984692106295,-3.7862094689423778
0.26,0.9040388887305025,nan,0.007175087810924796,0.007771892111204215,-0.004260916620099753,-0.0046861364502284175,0.03858145273048985,-0.13044568633460063,0.22023107719751978,-0.37807770529525087,0.1759368517971307,0.06246642203239017
0.27,0.9618825999461983,nan,0.007196555797456927,0.007883037376318014,-0.0059775485642434845,0.008293304562545512,-0.016249982324072487,0.028963458179297463,-0.06868210617984927,0.16723422951459388,-0.4662306790949877,0.3541190290786692
0.28,0.9382266554949797,nan,0.007253447714269945,0.007931626027038452,-0.005151669195841979,-0.0009268762890803917,0.03763251329589157,-0.17832972044619755,0.392583518437443,-0.676325706111518,-0.21376441802716228,-0.04399046876221124
0.29,0.8917883719519581,nan,0.007258166122296128,0.008129046529930073,-0.0058094361251967985,-0.0015949548932523427,0.03659964807570182,-0.15756160011550446,0.34898723543512455,-2.077033823575528,0.7919725932572045,0.2945418835348649
0.3,0.9559279125879423,nan,0.007322727301475096,0.007329422972100819,-0.0014250568859215385,-0.008358667423827182,0.027739138671827424,-0.05456929838033053,0.03263424044324181,0.1489963889139797,-1.1676927385019957,0.7475577599943563
0.31,0.8743062753872299,nan,0.007316117901874364,0.00839994200138583,-0.007617862586085877,0.009956923775954918,0.004895909105806506,-0.05758707925669748,0.1110606565888218,-0.08040195614996692,-0.2236486048887163,0.39178416364146684
0.32,0.9644819289864219,nan,0.007360288086550426,0.008744245942063356,-0.005390387040113298,-0.0009853110974620272,0.02296222000799486,-0.06563358527631591,0.07060302884375858,0.1413652508057579,-0.602194605464861,-0.11043279907775849
0.33,0.7286058724306441,nan,0.00736931276727848,0.008069817180609284,-0.0074668925358643,0.014583708155024855,-0.020479754966992836,0.019816724884070824,-0.02186220671438832,0.03044243304025529,-0.03063835163248463,-0.011412227446405243
0.34,0.9319794884134263,nan,0.0073902500478286726,0.008217590747900294,-0.0068681425511532,0.009856955717782667,-0.011885978342871306,-0.004094333104328385,0.09316096771361626,-0.44991366134161814,0.5713786167331153,-1.8673821558972588
0.35,0.962839812744176,nan,0.0074109898903651494,0.008063394156393788,-0.007913508338494468,0.007844884774508287,0.013066617873460529,-0.12032322708937371,0.33676279478902227,-2.073991878303711,0.711765346205536,0.33943524479919185
0.36,0.9016337153861811,nan,0.007449204518748198,0.007941049085002927,-0.004359725986384566,0.0023216676777441103,0.005396009279909575,-0.019355233504484204,0.02019764276131364,0.0014288196596131675,-0.015761459943653744,-0.008886197878037239
0.37,0.8635917483694423,nan,0.007426501902705662,0.009177799905937478,-0.007330872387294907,0.005443409540445865,0.00031786141397871504,0.01434044939671475,-0.16627294442826535,0.47930304407718993,-3.0388945178603466,-0.16778394785977047
0.38,0.7287808273119801,nan,0.0074659472227033286,0.00863805785397942,-0.010190680373067806,0.008717474451808482,0.009069270386923511,-0.08609748720563726,0.27059939931905985,-1.598510235574782,0.7556421872617745,0.26885110380214605
0.39,0.9903737717133536,nan,0.00747759633105749,0.008339464606981428,-0.0065501380725241365,0.0041970937144415466,0.02437144821762416,-0.13850208266111208,0.30527644884846195,-0.3195634998511707,-0.14872255129390166,-0.04730147620499636
0.4,0.9653888615186221,nan,0.007521864865679961,0.00838296800643823,-0.004063243078234802,-0.002813117461966552,0.025102386195144932,-0.11464399367938305,0.28022486186540096,-0.4028141683120965,-0.13533768581062655,-0.028608270573118766
0.41,0.9904265224464389,nan,0.007509930646306451,0.008965156012853748,-0.00905586097872435,0.012556861270621611,0.013652972740528568,-0.17059712069559652,0.428680026929832,-1.1745241919737088,-0.21434212540093545,-0.021812541916224282
0.42,0.9885329285933715,nan,0.007536744982249544,0.00845258622102818,-0.008516155807662962,0.017170556483453114,-0.022130927239104148,-0.004272195066282958,0.07340061092139383,-0.12011633451534176,-0.028764057445092694,-0.003155873483551508
0.43,0.9747109651282241,nan,0.007542512977751881,0.008488464555191921,-0.006684117096638298,0.011186531173866143,-0.02412670337425582,0.02286430073676282,0.034435904980932075,-0.15209773166779939,0.14157396077329687,0.07655612620106111
0.44,0.9555710564998765,nan,0.007568442045067791,0.008537775576500595,-0.005594039896428704,0.0036900329250973973,0.026270203214851295,-0.0808515703080197,0.01771096259631333,0.06979837364843067,0.026767932146225526,0.0060113519037106045
0.45,0.9044058120028391,nan,0.007566409503876992,0.009161445990661599,-0.007702965415922636,0.012153278473975848,-0.026643521818696447,0.03180081920783051,0.008212736436822299,-0.041318902842520044,-0.015298879861078918,-0.0033797054946576033
0.46,0.9574495863337075,nan,0.0076075093523733095,0.008137635846625302,-0.0024148814894524584,-0.010112555915021249,0.0527071674774251,-0.14593399244042016,0.16961650815600393,-0.11385788322769641,-0.04126475512423067,-0.009026290132211123
0.47,0.9503202676299889,nan,0.007601501201110694,0.008993977521432939,-0.008191571663381803,0.00951579076517406,-0.0068433167381984905,0.019711507320585353,-0.1593305368595439,0.49634492936908114,-1.4759531416069724,-0.35284323338254486
0.48,0.9800453272167429,nan,0.007623582284019714,0.00886121668256401,-0.007076304410486456,0.006055127969735841,0.005545338160553026,0.04313026494049499,-0.5291264461871448,0.425811220108808,0.18783267474538734,0.04518062036266879
0.49,0.9835694984620483,nan,0.007673814018508307,0.007980347261757226,-0.004575149204643081,-0.004814871891982264,0.02741127978091973,-0.024353732961774233,-0.04706989436936526,0.07395146612596049,0.02839966542006367,0.006381934505554798
0.5,0.9472854002110774,nan,0.007636200646283564,0.00902407670894978,-0.007675765841561821,0.007764201451188613,-0.003914758681120345,-0.01800122529028969,0.06049729585814778,-0.06350006144708398,-0.02335559834901324,-0.005143634419822796
