mu,score,cross-score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
0.0,0.0,nan,0.007141067857720951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.17225035279760648,nan,0.003569900169377749,0.0009335956140417156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.34304727747296737,nan,0.0043166145354197605,0.0016298077118187537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.5800381340382905,nan,0.00476621434313651,0.002209383283036659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.5748770177930512,nan,0.005181833345458187,0.002665600853355765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5397348994711844,nan,0.0054189499178378675,0.0031114632177975388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.6583327319465666,nan,0.005660437512919558,0.0033484885919613516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.7095187253981792,nan,0.005870008506649205,0.0036513239585077573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.7298536786556253,nan,0.006036497758457715,0.0037240008082233267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.6296016828891187,nan,0.006137351792967927,0.004371805936453366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.7070968597989487,nan,0.006337413430887673,0.004084011281149991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.7493226523674051,nan,0.006345199402804869,0.0047678073588843795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.7136273779632525,nan,0.006492629477787171,0.004991930603580275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.7288928857359671,nan,0.006533827129744818,0.004921555929648491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.7933264648790161,nan,0.006636306690974814,0.005149717073823279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
