mu,score,cross-score,beta_0,beta_1,beta_2
0.0,0.31824667896982717,nan,0.007492132028814602,-0.0010591888226367807,8.597884507766107e-05
0.01,0.28741376620608106,nan,0.003400971085843807,0.0014599107813270118,-0.00018619073343506543
0.02,0.6322828376001,nan,0.004168095889417689,0.002410619050212448,-0.00037609387218995316
0.03,0.5744000596592806,nan,0.004643444769078964,0.00322925362456028,-0.0006134680174714191
0.04,0.737870440597877,nan,0.005012164448933265,0.003640510444963496,-0.0007521854754766188
0.05,0.7801645431286386,nan,0.005337193969002119,0.004160061745125732,-0.001074743176515458
0.06,0.6517480163526266,nan,0.005547940957633557,0.004567081775522119,-0.0010031717016312225
0.07,0.7875337165632263,nan,0.005759568708742058,0.004958685831424781,-0.0012341986194359666
0.08,0.8081934039809199,nan,0.005944169815467748,0.005051122429380661,-0.0011290655564129004
0.09,0.8323941320700093,nan,0.006057386494783823,0.005695341154599687,-0.0016942265118329303
0.1,0.8345893127470847,nan,0.006199829960728098,0.005573319625330253,-0.0017453822874380354
0.11,0.9113614668073934,nan,0.0063366869704853945,0.005518861842438549,-0.0015226417379159418
0.12,0.7849607337952799,nan,0.00636957112584402,0.005767344236404681,-0.0013984171162058079
0.13,0.8435953658723447,nan,0.0065083438268603855,0.006085348762133513,-0.00155749742800948
0.14,0.8535821851738874,nan,0.0065875802500277025,0.006202229454148389,-0.0019231086128277397
0.15,0.8442094373390691,nan,0.006687912814413055,0.0062707753951052325,-0.0018447010866524671
0.16,0.8115289143238607,nan,0.0067182892060335675,0.00651504493471966,-0.0017689626082668664
0.17,0.8831278952286264,nan,0.006831902902214915,0.00622213500665636,-0.0015457123364428504
0.18,0.8618962195391411,nan,0.006841484604898751,0.00666999697504167,-0.0016451725957586927
0.19,0.9086055668676664,nan,0.006894263993291183,0.006875203796529394,-0.00235525139980175
0.2,0.8889880499237561,nan,0.00693523467190249,0.00683106288025237,-0.0018979870902080531
0.21,0.8675032242277563,nan,0.007005709910504532,0.00682988929086048,-0.0019158699884453956
0.22,0.8240500393928787,nan,0.0070672878512541,0.006910072561489455,-0.0023094686307489898
0.23,0.8973964198786797,nan,0.007047823462683511,0.007700228992273406,-0.002551036704744547
0.24,0.959083840288034,nan,0.007107157121634011,0.0071947680816393245,-0.0021926280518622665
0.25,0.9469681003907648,nan,0.007146318899666326,0.007411721701820362,-0.0020645342706571146
0.26,0.9172005474662382,nan,0.007215938620679929,0.006972130474991678,-0.0023892159729779205
0.27,0.8960904552655273,nan,0.007183502525551666,0.007959133370200822,-0.003143547802116897
0.28,0.7915685829564477,nan,0.007265166544624835,0.007533958203426283,-0.002450623025596066
0.29,0.9251683262351048,nan,0.0073222646368130695,0.007057657782586935,-0.002136872362570319
0.3,0.8755059673314435,nan,0.007318791170701666,0.007686743835474963,-0.002135283322979298
0.31,0.937707978478632,nan,0.007336533436368531,0.007746947352812117,-0.0029142353126463405
0.32,0.946214032875038,nan,0.007352816904378612,0.007770331316898305,-0.0028695645646010792
0.33,0.9049534253231445,nan,0.007369908920883184,0.007719893645720788,-0.0019431187868639288
0.34,0.9367649127006564,nan,0.007390838224308305,0.007712103824327188,-0.0028738072762115596
0.35,0.9160142096369955,nan,0.007418974513255572,0.008025023864129954,-0.0023781117646359817
0.36,0.9488411028391225,nan,0.007452892106041609,0.007519590806016052,-0.002343887737663808
0.37,0.8733447868205632,nan,0.007458477920863182,0.008064446530373859,-0.0020961520466067363
0.38,0.9324799407143108,nan,0.007487479220360749,0.00783215755995359,-0.0028182565070984378
0.39,0.962567633038816,nan,0.0074801993187498805,0.0079230829023752,-0.002367831328443426
0.4,0.9501563253218501,nan,0.007515760126922344,0.007877039344703185,-0.002252649628792902
0.41,0.950540490496333,nan,0.00752961331522306,0.0075716655067474825,-0.0020558638764007764
0.42,0.9243913781250821,nan,0.0075420593332894414,0.007823905175065593,-0.002337201633434205
0.43,0.9229832673752347,nan,0.007555529518295523,0.00786185893371738,-0.0023268032632395297
0.44,0.9216138398952651,nan,0.0075797908128143465,0.008137785230982408,-0.0023707670509405254
0.45,0.9461874991189873,nan,0.0076022730091257484,0.008412936719386477,-0.002701049878408579
0.46,0.91581523097781,nan,0.007605855860354449,0.008314959944835998,-0.0022630555370872774
0.47,0.9320100047792318,nan,0.0076348886373828195,0.007925956161741743,-0.0021281181267467364
0.48,0.9499760940990368,nan,0.007647429406325679,0.00792360667747527,-0.002469042774622343
0.49,0.8677511416758126,nan,0.007641081517408943,0.007974721153813813,-0.0018627038246807892
0.5,0.9257683010737653,nan,0.0076425065465659525,0.008644737589086127,-0.0025257571339383222
0.51,0.9718506013085011,nan,0.007655221826576963,0.00858973712448452,-0.0023910713533754624
0.52,0.8988923805370448,nan,0.007677533913118761,0.008404664948409746,-0.0023043068065067285
0.53,0.8795895211143708,nan,0.007696006537688205,0.008360527179320232,-0.002385290477586066
0.54,0.9028055086852096,nan,0.007701831553746263,0.008321736792151202,-0.003185101571708593
0.55,0.9481040763463773,nan,0.00771874731545652,0.00836855333659614,-0.002954393581001691
0.56,0.9370280411555413,nan,0.007712513195248238,0.008304062877982243,-0.0028695556847440074
0.57,0.9280009718703348,nan,0.00774841768968193,0.007500195694462142,-0.0019767179504035504
0.58,0.9612946162867101,nan,0.007757534408947109,0.008296428257490662,-0.0026305503924839435
0.59,0.9361756762159033,nan,0.007741736136050559,0.008295318002296104,-0.002253200260822652
0.6,0.8697419436690699,nan,0.00774516547874371,0.008374714600363653,-0.0023341212562959512
0.61,0.8092616471790275,nan,0.007759866986782438,0.008937622208608942,-0.002714684111192911
0.62,0.9371589954377049,nan,0.007777349128019306,0.008027392045070303,-0.0026371698329765714
0.63,0.8694756697286204,nan,0.007780497289139987,0.008557400826545214,-0.0022122920864442452
0.64,0.927960243558923,nan,0.007798780590205556,0.00867184972701629,-0.002169758104034303
0.65,0.9148783489863291,nan,0.0078017226965010344,0.008434131234402509,-0.002473114386309039
0.66,0.9437924678835521,nan,0.007800723921704278,0.008586330168813716,-0.0027860921412647954
0.67,0.7651165689310093,nan,0.007809696450125414,0.008627304162179605,-0.002660087788651788
0.68,0.9661615391671021,nan,0.007816437740839066,0.00872170209001688,-0.0024547457882948542
0.69,0.7824376063271612,nan,0.00782695913462983,0.008268811257115094,-0.0023399051252954717
0.7,0.9463006963417869,nan,0.00783059918288942,0.008769488719280849,-0.0024743216499965026
0.71,0.9208580166385552,nan,0.007839534031623852,0.008046589007300708,-0.0025982743172638934
0.72,0.9327166383319281,nan,0.007855017911064466,0.008718245457352891,-0.002352938310302033
0.73,0.9518360224069666,nan,0.007850799994101765,0.008672956921739083,-0.0023050517808600457
0.74,0.9577039739200761,nan,0.007849952025224871,0.008794155416383731,-0.0021709451240548017
0.75,0.9404823132110766,nan,0.007860538025832198,0.008253064370987273,-0.0024299985302775884
0.76,0.944278374125827,nan,0.007855349329801808,0.008946217454231298,-0.002771739318371935
0.77,0.9769340670788682,nan,0.00787501855803241,0.008031288603569275,-0.0021574881441726035
0.78,0.9239727659745492,nan,0.007878808693056238,0.008308785944753594,-0.0028370956918668533
0.79,0.9505332221243888,nan,0.007881422401319615,0.008663881624245029,-0.0027790535077840683
0.8,0.9538844623403104,nan,0.00787814450877733,0.008787039121674,-0.002742873169481408
0.81,0.7547926431559181,nan,0.0078941746567196,0.008304751564220725,-0.0024591599326564406
0.82,0.9537726092159242,nan,0.007910354915354967,0.007813792916590234,-0.0025564937577544633
0.83,0.9503757865063754,nan,0.007908589310811731,0.008607132699889886,-0.002625773185422675
0.84,0.919218337614753,nan,0.007917356950762455,0.008543405290417527,-0.002767630479622918
0.85,0.9533364076283685,nan,0.007913080865993627,0.008737938145247481,-0.002357347576697366
0.86,0.9623998026767413,nan,0.007918136548583421,0.008801200880614868,-0.0024235196255324443
0.87,0.931060705307967,nan,0.007933760992506533,0.008344659115156583,-0.002157755507580239
0.88,0.9542220580091001,nan,0.00792467186288559,0.008596241476312105,-0.0026551263369933853
