mu,score,cross-score,beta_0,beta_1,beta_2
0.0,0.0,nan,0.0053309972341215595,0.0,0.0
0.01,0.2758013133010071,nan,0.003835332753085341,0.0008947723885319725,0.0
0.02,0.4171694849267752,nan,0.004521542181047833,0.0015698351940177657,0.0
0.03,0.47576279329176363,nan,0.005009708621385611,0.0021191615315093726,0.0
0.04,0.4639347827111402,nan,0.0053494229803626725,0.002269426509363681,0.0
0.05,0.5175814989881187,nan,0.005597555255424491,0.002800872192689763,0.0
0.06,0.5276834885571127,nan,0.005788834405181742,0.0034473975896830433,0.0
0.07,0.6655969184435696,nan,0.005963486747648128,0.003631752955049583,0.0
0.08,0.6021541988865426,nan,0.006153181191410506,0.003839292187492238,0.0
0.09,0.7705530629330619,nan,0.0062429828165758705,0.004024404014959071,0.0
0.1,0.6629228318556604,nan,0.006369754570937802,0.0042738450813246676,0.0
0.11,0.7431119112309983,nan,0.006420306685604116,0.004540723584863904,0.0
0.12,0.6502698160545914,nan,0.006554855226458378,0.004828999301980885,0.0
0.13,0.7957102876456402,nan,0.006663167099552836,0.004803116293444543,0.0
0.14,0.7328325605798112,nan,0.006701907038902832,0.0049642775149650875,0.0
0.15,0.7465708221306234,nan,0.006787077526535512,0.005160731032775923,0.0
0.16,0.7307423273471072,nan,0.006808677186432299,0.005577055695402011,0.0
0.17,0.7525409510839898,nan,0.006907201529306239,0.0049670739505295325,0.0
0.18,0.8489383725136466,nan,0.006964397139291423,0.005648616659757688,0.0
0.19,0.8187431130985515,nan,0.007003009235066693,0.0057766024226718615,0.0
0.2,0.8444534279616243,nan,0.007030215382518801,0.0062463004352667495,0.0
0.21,0.8423034352842849,nan,0.007074114118170494,0.006259927885388539,0.0
0.22,0.8019122182991723,nan,0.007117959031489929,0.0064422233547212215,0.0
0.23,0.8711012893314513,nan,0.007168111592531612,0.006192263060505132,0.0
0.24,0.8179501629957622,nan,0.0071495695859475905,0.006330323826147066,0.0
0.25,0.8265679617824706,nan,0.0072266991596150465,0.00626562115183904,0.0
0.26,0.8437210504668632,nan,0.0072331715807559815,0.0063560177417110175,0.0
0.27,0.8920179446362615,nan,0.007257204936084616,0.006760334529982148,0.0
0.28,0.8208290480160325,nan,0.007310681356154536,0.006523642950065245,0.0
0.29,0.8493027235992302,nan,0.00733491098904504,0.006553068091231684,0.0
0.3,0.8583498914728154,nan,0.0073554749396480545,0.006666589813279833,0.0
0.31,0.8622175628790151,nan,0.007391645199331887,0.006596848334858962,0.0
0.32,0.8307943286946271,nan,0.007411947612994019,0.006658085754733922,0.0
0.33,0.737734982061327,nan,0.0074341817513776665,0.006717433748022028,0.0
0.34,0.8962999850132288,nan,0.007430089565198084,0.006897301549687707,0.0
0.35000000000000003,0.8719888072910315,nan,0.007454992162712282,0.007262393332558403,0.0
0.36,0.8823103825985309,nan,0.007483547450217731,0.006466768145495405,0.0
0.37,0.8309199246044755,nan,0.007505823329931327,0.00716376535407659,0.0
0.38,0.908859954910667,nan,0.007516175678314085,0.007045333627054284,0.0
0.39,0.7924826219895675,nan,0.007519941028288901,0.00772586213897819,0.0
0.4,0.831698395722565,nan,0.0075419532898302055,0.007309712733771123,0.0
0.41000000000000003,0.9208080999924457,nan,0.007556100957291867,0.007221795443207557,0.0
0.42,0.9153221237505308,nan,0.007550193438539354,0.0072939252713974945,0.0
0.43,0.8887590048569399,nan,0.007572050150444154,0.007239695727826567,0.0
0.44,0.8640984483623628,nan,0.0075975702809502055,0.007518517156745896,0.0
0.45,0.8740012249099445,nan,0.007623139844487037,0.007493033974784513,0.0
0.46,0.8775769629289871,nan,0.0076381358095626295,0.006946307590824152,0.0
0.47000000000000003,0.8934496693959572,nan,0.007657061108699015,0.006997249436219599,0.0
0.48,0.7182582405215922,nan,0.007639283538239061,0.0072181524709752365,0.0
0.49,0.8347880509345029,nan,0.00764356144615741,0.007738984265743598,0.0
0.5,0.8660246315583742,nan,0.007679842590037955,0.0074918681861078085,0.0
0.51,0.9096445479174208,nan,0.007676841768230691,0.008084318927013778,0.0
0.52,0.8399899228447566,nan,0.007699359813111428,0.007742758963256158,0.0
0.53,0.8257152071263183,nan,0.007706351065527972,0.00775397035642722,0.0
0.54,0.9046554778231016,nan,0.007726245460966341,0.007508243486661126,0.0
0.55,0.9186121329444317,nan,0.007724797971475295,0.007694484270656887,0.0
0.56,0.9046325812614321,nan,0.007745400328503127,0.007273498432157632,0.0
0.5700000000000001,0.8791003993068784,nan,0.00772858032479895,0.00783788154714582,0.0
0.58,0.7553577244152503,nan,0.007747708984454871,0.007619594447184963,0.0
0.59,0.9023729240668874,nan,0.007755075147026225,0.007824050412820971,0.0
0.6,0.9346390851610835,nan,0.007774574856072913,0.007638156939111074,0.0
0.61,0.9045960199181358,nan,0.007761313131439351,0.007934652677203946,0.0
0.62,0.8248161103919976,nan,0.007785291149969065,0.007682315991363153,0.0
0.63,0.8742146177339151,nan,0.0077843411231641735,0.008219738410583877,0.0
0.64,0.8764649282441651,nan,0.0078146405111712,0.007036252705980739,0.0
0.65,0.8689885714390393,nan,0.007802383358384568,0.007804891841494355,0.0
0.66,0.9000939735500132,nan,0.007821769181196592,0.007563230052749725,0.0
0.67,0.8201251112838991,nan,0.007822622270212909,0.007800797545625238,0.0
0.68,0.9138949956649361,nan,0.00783031361232378,0.007499449690145266,0.0
0.6900000000000001,0.8766070256902235,nan,0.007827218188456886,0.008013760528705283,0.0
0.7000000000000001,0.8922606817975847,nan,0.00784328349054364,0.008172142439802244,0.0
0.71,0.9016509329687161,nan,0.007820445186943359,0.008426597186859675,0.0
0.72,0.8636024609879561,nan,0.007836718834128287,0.007876193551266897,0.0
0.73,0.9175307553502543,nan,0.007855214736151028,0.008199185040062451,0.0
0.74,0.8960758818748722,nan,0.007864126263993687,0.007771027703620814,0.0
0.75,0.9022724459997318,nan,0.007851750760928033,0.00836236004264157,0.0
0.76,0.9072615699282115,nan,0.007874055248499046,0.00752531127390077,0.0
0.77,0.8427182338938801,nan,0.007880112615263446,0.007673756263488651,0.0
0.78,0.8899289085207235,nan,0.0078885207014332,0.00781528260798281,0.0
0.79,0.8911483529503383,nan,0.007889991120268003,0.007876107728483128,0.0
0.8,0.9024792512617763,nan,0.007898469115251494,0.00772681956873722,0.0
0.81,0.8860481300025608,nan,0.007904193322443187,0.007657946669757609,0.0
0.8200000000000001,0.9038863489358634,nan,0.007907539001576258,0.007791353031280757,0.0
0.8300000000000001,0.9039700927815605,nan,0.007909539308858848,0.00768790330752589,0.0
0.84,0.9024033733973726,nan,0.007923463335791303,0.0076161501760765304,0.0
0.85,0.8997046990001765,nan,0.007922659233695617,0.0075444155208610475,0.0
0.86,0.8865890375992952,nan,0.007925420521370685,0.007949399816761904,0.0
0.87,0.8896521901045741,nan,0.007925377265371902,0.007868024781871541,0.0
0.88,0.9014116727624889,nan,0.007935834044067613,0.007706499214630735,0.0
0.89,0.897052372555992,nan,0.007940006399528299,0.0077112007090576196,0.0
0.9,0.890291788430485,nan,0.007949146283579789,0.007703280840589799,0.0
0.91,0.9004508412800701,nan,0.00794055748982292,0.008046942534892687,0.0
0.92,0.8870289773657937,nan,0.007949096691168944,0.008146562373296029,0.0
0.93,0.8859197096115274,nan,0.007953342045103118,0.008060268721862607,0.0
0.9400000000000001,0.9165595960440146,nan,0.007962429398431836,0.008032314544181407,0.0
0.9500000000000001,0.8948043727330354,nan,0.007963714852046277,0.007738205801295139,0.0
0.96,0.8933233424512045,nan,0.007964306145444633,0.007817720771649994,0.0
0.97,0.8881894183132663,nan,0.007974420147841776,0.007699466920549347,0.0
0.98,0.8948679396858348,nan,0.0079790309361355,0.00765237780430339,0.0
0.99,0.9135973380381789,nan,0.00797941532509916,0.007608406249165145,0.0
1.0,0.8963486660064245,nan,0.00798341880806186,0.0076135925943128235,0.0
