mu,score,cross-score,beta_0,beta_1,beta_2,beta_3
0.0,0.4208924339329321,nan,0.007662224576430621,-0.0020963345205169404,0.0004582237895082164,-4.337907053963974e-05
0.01,0.45682749828049496,nan,0.0033795033441295086,0.0017747765428309803,-0.0007578933603502591,0.0001466525216289316
0.02,0.42958974932750016,nan,0.0040938626143947054,0.0027785576333021478,-0.0011024329964148816,0.00021564594507939017
0.03,0.663889649852394,nan,0.004597788162032379,0.0038087341327833757,-0.0017501353644377993,0.00040952863902921077
0.04,0.5346006039786529,nan,0.005008744268196419,0.003915999525506919,-0.0017601997464595787,0.0003917285971269946
0.05,0.7196696378780805,nan,0.005281226280994034,0.004532388640071883,-0.0023065068354168883,0.0006359189354062655
0.06,0.6220487491925368,nan,0.005572091772777399,0.0046748964111060776,-0.0026508078174538596,0.0008206302252523612
0.07,0.7725806798654712,nan,0.005772895559949198,0.0052014476596726755,-0.0029521143212432044,0.0010114895419539582
0.08,0.8081616129829428,nan,0.005927897668877025,0.005259071270541926,-0.0030789896132816796,0.0010102661378704747
0.09,0.7298235952835672,nan,0.00606137856512845,0.005516658595524082,-0.0027539758224610633,0.0008274055570646199
0.1,0.8703232039176869,nan,0.00620285257381914,0.005575397281595285,-0.0027310994163824986,0.0006575600516972591
0.11,0.8855196710202342,nan,0.006321808425691522,0.006216066964637612,-0.0034895276337456593,0.0011380667073285222
0.12,0.9270856136181401,nan,0.0063996950797281515,0.006319056934132927,-0.0030468523447679807,0.0007764636056284413
0.13,0.8319514587150276,nan,0.006502829874380001,0.006277723708249305,-0.0030356420869248613,0.0007466632714242527
0.14,0.7094890340156788,nan,0.0066097178520767574,0.006569070201025484,-0.0032979538944053477,0.000847839033813691
0.15,0.8874958314461278,nan,0.006637569526442455,0.00674631287440941,-0.0027939627172985926,0.0005940474631255244
0.16,0.7565779923895265,nan,0.00673852624397886,0.0066804063511772815,-0.003097112077679709,0.0007618897336880703
0.17,0.9231436643687991,nan,0.006795625588337018,0.007168572959608932,-0.004319868221863032,0.0010947253624931097
0.18,0.8648853997296747,nan,0.006821545938578422,0.006959234483082222,-0.0032270806732632717,0.000646606258648541
0.19,0.8708078991092674,nan,0.006869833510035672,0.007307971532783397,-0.003533077307080301,0.0008621367830127236
0.2,0.7629645501219328,nan,0.006937737317014525,0.0071204890923195485,-0.003534307563535899,0.0008484543848421566
0.21,0.8201963835286245,nan,0.0069969061691460555,0.0069243371255379715,-0.0024755650896117753,0.0004468457194207742
0.22,0.8715138779534288,nan,0.00703322099965642,0.0071041527099431345,-0.003583112394191179,0.0007359608726439371
0.23,0.8918142071166508,nan,0.007087485099268376,0.006945414041455766,-0.003538876196064189,0.0008332251809484159
0.24,0.9113651291560879,nan,0.007127608595099977,0.007333025490219081,-0.004423843483468248,0.0012411241279468577
0.25,0.8582600827483031,nan,0.00714924436474873,0.007899113298634908,-0.004489508349631466,0.0010017424188910606
0.26,0.8600959815358695,nan,0.0072082498480920965,0.007112620680030379,-0.0034036411623308283,0.0010108909683559375
0.27,0.8358640385837017,nan,0.007206903014314259,0.007647650944273665,-0.003251968777566727,0.0005622862498994019
0.28,0.9461983524912809,nan,0.007243015463473723,0.007557842282990168,-0.003795980390808973,0.0008199723147920279
0.29,0.9467206734891406,nan,0.007274801202476255,0.008082470774193995,-0.004381702658389219,0.0009013465340736992
0.3,0.8863436910246263,nan,0.007264691396268841,0.008768543431597942,-0.005075321353695816,0.00114760283620019
0.31,0.9115402053706689,nan,0.007335548741650433,0.00779905163599659,-0.002918963413657716,0.00047414136018764097
0.32,0.949813357299047,nan,0.007332220432809233,0.0081662830249003,-0.0029253349998235034,0.00043743534326146083
0.33,0.9072135108745017,nan,0.007380385914507959,0.007655242037477583,-0.0015671654492770415,-5.417078309499779e-05
0.34,0.884192032119864,nan,0.00736581375764267,0.008614283288645663,-0.005664035381555577,0.0014262833246917461
0.35,0.8319010377688703,nan,0.007417414298633518,0.00790790076118364,-0.0037358714762951717,0.0007385696390961316
0.36,0.9175356884084857,nan,0.007464040322190391,0.007497564912834376,-0.0024950233856868564,0.0002880859505829392
0.37,0.8151339503393433,nan,0.007452448351460861,0.008061812146027414,-0.004608396759965272,0.0010117805082724418
0.38,0.9205336821245461,nan,0.007486123183899518,0.008026251631135906,-0.004530565421730248,0.001094368872111895
0.39,0.8938515846926292,nan,0.007479675820473486,0.008490556239191038,-0.005871503467544947,0.0015197188978518517
0.4,0.9192962782450853,nan,0.007515891557826948,0.008091171973069966,-0.004261109614382086,0.0009562863062765325
0.41,0.8644722883792024,nan,0.00754377062411582,0.008011866212195629,-0.004336444594319255,0.0008939287048679301
0.42,0.9331285627474728,nan,0.007560816987346453,0.007977039719420431,-0.0029819845792489197,0.0004059281581543228
0.43,0.820882796303936,nan,0.0075476547384099035,0.008510525402326996,-0.003811232910633011,0.0006301876638205028
0.44,0.7379200044999805,nan,0.007578849577402846,0.0075548551361196425,-0.0013561534020740673,2.3758524022143845e-05
0.45,0.8726396523605597,nan,0.0075843553379755235,0.0077617071347747535,-0.0032964420769709957,0.0006367141607804827
0.46,0.9271459019613681,nan,0.007619847992127893,0.007916772464365174,-0.003263679751597026,0.0005191404304706326
0.47,0.9844383594788126,nan,0.0076080828682282275,0.008346182494524679,-0.0049047935097410456,0.0010439173131631119
0.48,0.9142835394011206,nan,0.007644330621876305,0.007908939866155151,-0.004045920037990758,0.0009385533627643827
0.49,0.8024856584157394,nan,0.007634259574094582,0.008812308812754632,-0.004326595268878464,0.0009009201911135412
0.5,0.9013878115761471,nan,0.0076314500560448195,0.008702198533960592,-0.004403688995478383,0.0009350674543785464
0.51,0.9534050558728772,nan,0.007663566303854785,0.008567389514938628,-0.0048402623475829465,0.0010204920335499246
0.52,0.8655400097151471,nan,0.007664897276283167,0.008560451563290106,-0.0031099750607925802,0.00034372900816348473
0.53,0.8445244613831008,nan,0.007691612362219824,0.007957634442054329,-0.004092689929645177,0.0008157457023268977
0.54,0.8746273374786665,nan,0.007707369297255795,0.008511775503921015,-0.0034407484718088632,0.0005709110608412837
0.55,0.9107575605640004,nan,0.0077042065227738155,0.008698972454228682,-0.007306528876194651,0.0019723316840257743
0.56,0.9180609439017051,nan,0.0077276326916611016,0.00858163152830893,-0.005083087548763743,0.0011205462723846704
0.57,0.9841585195311721,nan,0.007728120828279783,0.00845395863538212,-0.0057894680511429986,0.0013902037404774914
0.58,0.9122033940710405,nan,0.007725812248366548,0.008744467666963684,-0.004526060942096954,0.00094292007422625
0.59,0.9348846959025326,nan,0.007750156827376675,0.008402105786071035,-0.005549671122644817,0.0012745309575599162
0.6,0.9776517301059088,nan,0.007755071656984858,0.008942592053071019,-0.006294945215592707,0.001463571203505487
0.61,0.9447251428503666,nan,0.007779307993175166,0.008836582019427053,-0.003313250061227846,0.00044864011995959796
0.62,0.9683600509892902,nan,0.007762633978946165,0.008760326035649468,-0.00563364597229965,0.0013081977638693676
0.63,0.9728767337335048,nan,0.007774817257594546,0.008710303945192677,-0.0058786328568047885,0.001437650460283435
0.64,0.9696179684088689,nan,0.007791828821997249,0.008400218663508707,-0.005048419832986539,0.0010735559843029208
0.65,0.9127102841620193,nan,0.007795015764887836,0.008407277914520006,-0.002256686511994843,0.00019596532905907793
0.66,0.9654060250216867,nan,0.007804712725038354,0.008768851790294407,-0.005877866671176957,0.0013965510982244522
0.67,0.9747108388994771,nan,0.007796314199306265,0.00866355165506183,-0.005259262990731761,0.0012006493967751108
0.68,0.9830774895848373,nan,0.007829400816041776,0.008353363469895347,-0.005135282955539111,0.001105647737510429
0.69,0.8882502382750874,nan,0.007815102112024852,0.008929231829100437,-0.005990290539164889,0.0013419649922168375
0.7,0.9672894292735353,nan,0.007830129425738908,0.009047361372010898,-0.006557944380836789,0.0015888307174796168
0.71,0.9797682404113337,nan,0.007829814902953647,0.008858668815336923,-0.006442897443588613,0.0016104561688353725
0.72,0.9571626387718115,nan,0.007852423761098626,0.0077435689637517235,-0.002571884198764085,0.00026553476406043774
0.73,0.962233035424778,nan,0.007854236173405527,0.008371585407232485,-0.005043806251892269,0.0011367296037912977
0.74,0.98094628933469,nan,0.0078682250587776,0.008534443120976176,-0.005503062952410653,0.0012769313567677631
0.75,0.9689248441824151,nan,0.007868846344327607,0.008900699740859608,-0.005831688330970142,0.001369371152929899
0.76,0.9727290407496505,nan,0.007872979085525866,0.008817905997472342,-0.004831387367433493,0.001019484615595534
0.77,0.9628913231234193,nan,0.007886487587702273,0.008459612624339474,-0.006427342755937593,0.0016437494014506226
0.78,0.9298083770566848,nan,0.007878717332087004,0.009163021287091788,-0.0045503912080642195,0.0009187682263668284
0.79,0.970581348763191,nan,0.007893916508121768,0.008795035886781433,-0.007302248436859227,0.0019314798933863786
0.8,0.9827827980371989,nan,0.007880703598903693,0.00926487133152587,-0.010047301168739198,0.002935900699411631
0.81,0.9791739910273712,nan,0.007891348134270504,0.008850869189531596,-0.005444502872669066,0.0011902823442960786
0.82,0.9706872944102866,nan,0.007907654064749248,0.008729814222620313,-0.006947347218115851,0.0018057112054558067
0.83,0.9705660655491872,nan,0.007897903343838997,0.009400709451572897,-0.008260460297112804,0.0020696509358324455
0.84,0.9499664827689852,nan,0.007910423342545658,0.008770015575153334,-0.005756798281814524,0.0013505481962027277
0.85,0.9825783459812495,nan,0.007920776856772949,0.008955318456557393,-0.007798067747840198,0.0021079809362745117
0.86,0.9771675607087668,nan,0.007916019291126508,0.009076982928075017,-0.008107907197896447,0.0022122513867038895
0.87,0.9733929768764896,nan,0.007935188047983877,0.008561958410463144,-0.00522846262420229,0.001176275091382073
0.88,0.9747161665485403,nan,0.007924191416562643,0.008678967002824334,-0.008724606020752423,0.0024876431587146364
0.89,0.9793847263645147,nan,0.00794131680903054,0.008498764149902471,-0.007912074123922697,0.0021913125034063174
0.9,0.9659548622348109,nan,0.007944295073805896,0.008450343576756225,-0.006864022202177189,0.0018089123236493254
0.91,0.9922152790622351,nan,0.007938719990199128,0.00897302583065751,-0.008528981212753362,0.0023833418324141764
0.92,0.9939249998373161,nan,0.007945957233516099,0.008562585708526194,-0.006740265055908745,0.0017393597648621695
0.93,0.9829593366797498,nan,0.00796099573068687,0.008513177442735609,-0.006371165875657336,0.0016062020309546288
0.94,0.9884665882291868,nan,0.007953539742720617,0.008794878266928374,-0.00840925682032223,0.0023562138574135805
0.95,0.994077078591441,nan,0.007957792851753465,0.008827602905005838,-0.007235126727485275,0.0019070304923501924
0.96,0.9889406610453969,nan,0.007966082053772028,0.008761106320898104,-0.00839799737182223,0.0023538448226164688
0.97,0.9930800989676059,nan,0.007966853620154146,0.008853638772112649,-0.008081116032244262,0.002224693790540133
0.98,0.9902576184861417,nan,0.007975845322712116,0.008716450981604451,-0.007580558991160835,0.0020481306088351303
0.99,0.9910666897092422,nan,0.007980235540341885,0.008600251484502275,-0.007982639847832207,0.00221021626011475
1.0,0.990223086874903,nan,0.007980890303787902,0.008659149739427163,-0.0076768757554956935,0.0020899770359869008
