mu,score,cross-score,beta_0,beta_1,beta_2,beta_3
0.0,0.0,nan,0.007141067857720951,0.0,0.0,0.0
0.01,0.2290758295645836,nan,0.0035680643135380663,0.0010326678771044318,0.0,0.0
0.02,0.3456414924121509,nan,0.0042956144481240965,0.00167659268608078,0.0,0.0
0.03,0.46774496875831273,nan,0.004834597159539156,0.0019488076920303188,0.0,0.0
0.04,0.5553112032875309,nan,0.005178341336501191,0.002624595265905638,0.0,0.0
0.05,0.6179067711897116,nan,0.005452227044346891,0.003088799383169083,0.0,0.0
0.06,0.6687503318721981,nan,0.005715717679484866,0.003178937613133037,0.0,0.0
0.07,0.6261243411678827,nan,0.005884935212035258,0.0036381844906993033,0.0,0.0
0.08,0.7025626778185758,nan,0.006028852359509784,0.0038900940933093153,0.0,0.0
0.09,0.7214922562004318,nan,0.006167272409333124,0.004178312420695995,0.0,0.0
0.1,0.6790434196146671,nan,0.006311992673849298,0.004360290885906837,0.0,0.0
0.11,0.7230211901643997,nan,0.006389459121067698,0.004525798916186319,0.0,0.0
0.12,0.6239441366891313,nan,0.006479199557067439,0.004863142992553748,0.0,0.0
0.13,0.7679346373897291,nan,0.006560844042552305,0.004953472569924955,0.0,0.0
0.14,0.748371563906101,nan,0.0066761153766773385,0.0051463368860560355,0.0,0.0
0.15,0.8308676522682543,nan,0.006722570522154414,0.00526169250627373,0.0,0.0
0.16,0.7429148032934385,nan,0.006772462023504788,0.005478452548467794,0.0,0.0
0.17,0.8437126320221499,nan,0.006837623196239595,0.0055951974011807515,0.0,0.0
0.18,0.6855937242078514,nan,0.006893872418819225,0.005942628286960239,0.0,0.0
0.19,0.7121734500782981,nan,0.006948179546738431,0.005736785854751014,0.0,0.0
0.2,0.8812695375980423,nan,0.0070076387221040815,0.005982215170538541,0.0,0.0
0.21,0.7511057683908546,nan,0.007006787872648412,0.006187594131490504,0.0,0.0
0.22,0.7318937971486978,nan,0.007087281660025924,0.006075488446792732,0.0,0.0
0.23,0.7335528832032521,nan,0.007119759140394311,0.006033839076406089,0.0,0.0
0.24,0.7971119178193602,nan,0.0071506891158839014,0.006726190771316309,0.0,0.0
0.25,0.7355404173056321,nan,0.007169149038479428,0.006401694637977795,0.0,0.0
0.26,0.8448222678931046,nan,0.0072281602345969365,0.006164448095631769,0.0,0.0
0.27,0.8312369221682478,nan,0.007271852142048174,0.006268051935179653,0.0,0.0
0.28,0.8748540117053151,nan,0.007295799318918772,0.0063704159993558385,0.0,0.0
0.29,0.8662206116740894,nan,0.007298788913284393,0.0063953360502228,0.0,0.0
0.3,0.8549723989988304,nan,0.007321150969199053,0.006867816869666976,0.0,0.0
0.31,0.8106010806787087,nan,0.007327904436814081,0.007229905404022463,0.0,0.0
0.32,0.8371571832227783,nan,0.0073737791091325056,0.007129544047849379,0.0,0.0
0.33,0.7704419815873174,nan,0.007391801653767072,0.007049339520853515,0.0,0.0
0.34,0.8784316863828159,nan,0.007433993844959019,0.0070112120386871535,0.0,0.0
0.35,0.9056637654949378,nan,0.007455184750495669,0.006717550064534894,0.0,0.0
0.36,0.7927614085104152,nan,0.007476117351768674,0.006999762002873444,0.0,0.0
