delta_I,theta'_J,score,cross-score,lambda_I,lambda_J<,lambda_J>=
0.0,0.1,1.0,nan,0.0077723479291550435,-0.002262578712189711,-0.002995351234705401
0.0,0.2,1.0,nan,0.0077723479291550435,-0.002262578712189711,-0.002995351234705401
0.0,0.30000000000000004,1.0,nan,0.0077723479291550435,-0.002262578712189711,-0.002995351234705401
0.0,0.4,1.0,nan,0.0077723479291550435,-0.0032406142874001898,-0.002799056938415312
0.0,0.5,1.0,nan,0.0077723479291550435,-0.0031241088456914756,-0.002827850683483124
0.0,0.6000000000000001,1.0,nan,0.0077723479291550435,-0.002484670758634122,-0.004572467409382108
0.0,0.7000000000000001,1.0,nan,0.0077723479291550435,-0.002463026998514861,-0.006120927143127508
0.0,0.8,1.0,nan,0.0077723479291550435,-0.0026127637524324676,-0.00703463049799713
0.0,0.9,1.0,nan,0.0077723479291550435,-0.0027966928656553147,-0.007061535858689627
0.1,0.1,0.3185352199158695,nan,0.00604951368381168,0.00030142211407158115,0.0032368184777159525
0.1,0.2,0.30879012006071915,nan,0.0060606527376754205,0.00031278856096705887,0.003227866672643298
0.1,0.30000000000000004,0.3047814685180087,nan,0.006049790080451145,0.00033669877261899295,0.003341481188992357
0.1,0.4,0.35721554278383727,nan,0.006021544118890221,0.0003816014982644944,0.003852046618496585
0.1,0.5,0.35625980339369767,nan,0.006021756281395896,0.00038204328291413514,0.0038467617121192843
0.1,0.6000000000000001,0.41612360144151816,nan,0.006032700636968369,0.0005909528919719742,0.007837996708254136
0.1,0.7000000000000001,0.5175068296141951,nan,0.006024687671439821,0.0006077368937570382,0.014147721003259894
0.1,0.8,0.66218228673464,nan,0.006024417887365963,0.0006099913932793299,-0.00751295736686397
0.1,0.9,0.6621527473853086,nan,0.006024402397562634,0.0006099698538581944,0.0
0.2,0.1,0.3133213485919183,nan,0.006550812658331462,0.0004916215708162808,0.0037452027334513582
0.2,0.2,0.29751881098456845,nan,0.0065565484880641955,0.0005035413215217499,0.003709620416171844
0.2,0.30000000000000004,0.2901462547843481,nan,0.006551605228482638,0.0005237729212226316,0.003669039309828648
0.2,0.4,0.35639973462351426,nan,0.006532550230206602,0.0005558458641702346,0.00409934253454769
0.2,0.5,0.3561403603229367,nan,0.006532666190085079,0.0005561945258106826,0.0040907167306664105
0.2,0.6000000000000001,0.380364587778497,nan,0.006538041949317619,0.0006812818280059751,0.006048241733309756
0.2,0.7000000000000001,0.4163385979034294,nan,0.006533969431457121,0.0006885782256914608,0.006659496292909739
0.2,0.8,0.4384807906463627,nan,0.006533649047329226,0.0006892450498643399,-0.01330785777712995
0.2,0.9,0.43856631540991164,nan,0.006533684262128636,0.0006891998012219513,0.0
0.30000000000000004,0.1,0.3973966761410821,nan,0.006761207718005924,0.0005804842208607663,0.003931082599345492
0.30000000000000004,0.2,0.3846988138450834,nan,0.0067653102013319755,0.0005892609715845154,0.00387395389807077
0.30000000000000004,0.30000000000000004,0.379984046107976,nan,0.0067606409132831,0.0006002820946336973,0.003942624262387451
0.30000000000000004,0.4,0.3940658087763811,nan,0.006745271896874794,0.0006241115665691632,0.004505193284381037
0.30000000000000004,0.5,0.39409299551263755,nan,0.0067453497270907326,0.0006243393483420512,0.004497171489400209
0.30000000000000004,0.6000000000000001,0.5910498742050248,nan,0.006754343193510315,0.0007184629981972224,0.003143736726475277
0.30000000000000004,0.7000000000000001,0.5696922903161037,nan,0.006751043073975005,0.0007223980275585795,0.016193628298146634
0.30000000000000004,0.8,0.6606920877293083,nan,0.006751919408777174,0.0007220735399069422,-0.010440615350619353
0.30000000000000004,0.9,0.6606868737508473,nan,0.006751921186043508,0.0007220679984549783,0.0
0.4,0.1,0.41013227040907085,nan,0.006885939471003244,0.0006199585578067213,0.004161842964007123
0.4,0.2,0.38668292637065427,nan,0.006887756332943806,0.0006266933168025401,0.004166272156290396
0.4,0.30000000000000004,0.38709781533465715,nan,0.006883469368452411,0.0006356455094956859,0.004263380681252427
0.4,0.4,0.4222182796174899,nan,0.006872996024315681,0.0006566636486636801,0.0046897339391788195
0.4,0.5,0.4222319435169908,nan,0.006873033535117257,0.0006566193915585883,0.0046923405986178945
0.4,0.6000000000000001,0.6232552357713539,nan,0.006874955185944942,0.0007375813199526071,0.0022908615798267196
0.4,0.7000000000000001,0.67297881857012,nan,0.006874591389133267,0.0007383719141739187,-0.006151442884224423
0.4,0.8,0.6729151982471324,nan,0.006874685982305118,0.0007381364345740993,0.0
0.4,0.9,0.6729151982471324,nan,0.006874685982305118,0.0007381364345740993,0.0
0.5,0.1,0.36927587678735285,nan,0.006946563375367032,0.0006737928752705846,0.003703647200972382
0.5,0.2,0.3770672043053842,nan,0.006948619045432203,0.0006784808318204272,0.0036254392840342486
0.5,0.30000000000000004,0.36953550838415195,nan,0.006945610996548446,0.0006851298735279787,0.0036809357729895575
0.5,0.4,0.42942258800765865,nan,0.00693993858794717,0.0006944415185516917,0.004216436267496793
0.5,0.5,0.42942562987712996,nan,0.00693996872854552,0.0006944026538917569,0.004219178640281207
0.5,0.6000000000000001,0.6347669426039219,nan,0.006940095224028386,0.0007527062702883391,0.0017859790114947982
0.5,0.7000000000000001,0.683880593334019,nan,0.006939003684305667,0.000754222274856664,-0.005344866403695914
0.5,0.8,0.683758639338129,nan,0.006939053128992123,0.0007540427195366073,-0.010792701591112674
0.5,0.9,0.6837536682059534,nan,0.006939054928306598,0.000754037088613102,0.0
0.6000000000000001,0.1,0.39844079303021984,nan,0.007010188513528082,0.0006941898955328263,0.003913297281537664
0.6000000000000001,0.2,0.38748498890114,nan,0.007011842932541756,0.0006974616834316549,0.003910183404931433
0.6000000000000001,0.30000000000000004,0.38216791179916587,nan,0.00700875782455701,0.0007027477874553822,0.004043334063846715
0.6000000000000001,0.4,0.4220644021277641,nan,0.00700072652913053,0.000717456942735839,0.004455669842378551
0.6000000000000001,0.5,0.42213125038026533,nan,0.007000760140525419,0.0007175651127704352,0.004448751622263103
0.6000000000000001,0.6000000000000001,0.6610515564356776,nan,0.007002037417602414,0.0007685357210056587,-0.0010877745558082186
0.6000000000000001,0.7000000000000001,0.6731057686742274,nan,0.007002367789782249,0.0007680238256395633,-0.00552830514707181
0.6000000000000001,0.8,0.6730423930224195,nan,0.007002378806058029,0.0007679200153508647,-0.019506259498331513
0.6000000000000001,0.9,0.6730520830621349,nan,0.007002410032244,0.0007678871932679243,0.0
0.7000000000000001,0.1,0.40774669522211104,nan,0.007033859745576909,0.0007200587006311876,0.003382669168713326
0.7000000000000001,0.2,0.40529764720574124,nan,0.0070348980734114,0.0007228791520366151,0.003349399710238732
0.7000000000000001,0.30000000000000004,0.3948798940122492,nan,0.0070328628766429535,0.0007257719049764688,0.003498482001751513
0.7000000000000001,0.4,0.44498136844132663,nan,0.007028686839537279,0.0007374249374684227,0.0036320845061619256
0.7000000000000001,0.5,0.4449507866439555,nan,0.007028714565186833,0.0007373912525190374,0.0036347233494793407
0.7000000000000001,0.6000000000000001,0.6486359960204574,nan,0.007027761246096276,0.0007731352616031639,0.0003361078922484717
0.7000000000000001,0.7000000000000001,0.6772192052120218,nan,0.007027859861596597,0.0007730267575811745,-0.004953751272853024
0.7000000000000001,0.8,0.6771525426979679,nan,0.007027888417427519,0.0007729089656783872,-0.0109785663949169
0.7000000000000001,0.9,0.6771425741257486,nan,0.007027892047006268,0.0007728975901589719,0.0
0.8,0.1,0.45816685850407424,nan,0.0070737455785828685,0.000738274316932741,0.0032773854178123063
0.8,0.2,0.46466274666861407,nan,0.007074490673656508,0.000742155254060628,0.0031482481034050824
0.8,0.30000000000000004,0.46034443042644435,nan,0.007072716533917278,0.0007454725740534407,0.0032190354768114604
0.8,0.4,0.48980860907221435,nan,0.007068827702690683,0.000751646513748816,0.0036552518471498763
0.8,0.5,0.4897761082909129,nan,0.007068856160905246,0.000751610398940894,0.0036585551968203456
0.8,0.6000000000000001,0.6786585713967674,nan,0.007068717735110863,0.0007824915586566172,-0.003170378137420382
0.8,0.7000000000000001,0.6813387898308114,nan,0.007069336599387022,0.0007815928039046627,-0.00526657785797191
0.8,0.8,0.6812806661743009,nan,0.007069355715349723,0.0007814924215178154,-0.011064212362903225
0.8,0.9,0.6812709085172424,nan,0.00706935935748032,0.0007814809872992434,0.0
0.9,0.1,0.4140653400229777,nan,0.007101715749599058,0.000737889079110543,0.003552711035085032
0.9,0.2,0.40538389579774736,nan,0.007102459173455311,0.0007408635861282376,0.0034770520412442663
0.9,0.30000000000000004,0.38277028182036876,nan,0.007100392962428259,0.0007438175465699359,0.003608749674215983
0.9,0.4,0.49521390608706906,nan,0.007098426661959256,0.0007508910697245907,0.0037961625597877635
0.9,0.5,0.495154556603824,nan,0.0070984565114763365,0.0007508546610341948,0.0037999235871309933
0.9,0.6000000000000001,0.6724515112714322,nan,0.007097888812260589,0.0007801903375853625,-0.0018222135515515436
0.9,0.7000000000000001,0.6835856569645238,nan,0.007098261296218156,0.0007796588927667658,-0.0051962617520369125
0.9,0.8,0.6835249824627156,nan,0.007098278374240707,0.0007795635890164299,-0.011083905363250324
0.9,0.9,0.6835151827300325,nan,0.007098282012133361,0.0007795521612832257,0.0
1.0,0.1,0.4366902574938206,nan,0.007119240901528934,0.0007510686680101131,0.00335143977565322
1.0,0.2,0.42671033030317185,nan,0.0071196678178868655,0.0007539330098035313,0.0032515449530939877
1.0,0.30000000000000004,0.4230907608753419,nan,0.00711848245627833,0.000755437808808157,0.0034025857388632064
1.0,0.4,0.4977868333654082,nan,0.007116577414055025,0.0007608496022539768,0.0036599891079864832
1.0,0.5,0.4977447963802618,nan,0.007116605684912569,0.0007608139494209576,0.0036641217340717125
1.0,0.6000000000000001,0.6744660436345462,nan,0.007115365448954636,0.0007864616414011705,-0.0017180954922135783
1.0,0.7000000000000001,0.6872042174968871,nan,0.007115742984460494,0.0007859325822346941,-0.005202580367038356
1.0,0.8,0.6871496325656974,nan,0.007115763617764226,0.0007858364721418098,-0.011133449066389467
1.0,0.9,0.687140064894726,nan,0.0071157672657713444,0.0007858250083707663,0.0
