delta_I,theta'_J,score,cross-score,lambda_I,lambda_J<,lambda_J>=
0.0,0.1,0.0,nan,0.007120147767653906,0.0,0.0
0.0,0.2,0.0,nan,0.007120147767653906,0.0,0.0
0.0,0.30000000000000004,0.0,nan,0.007120147767653906,0.0,0.0
0.0,0.4,0.0,nan,0.007120143776239263,0.0,0.0
0.0,0.5,0.0,nan,0.007120141842998806,0.0,0.0
0.0,0.6000000000000001,0.0,nan,0.007120216629194487,0.0,0.0
0.0,0.7000000000000001,0.0,nan,0.007120294573107588,0.0,0.0
0.0,0.8,0.0,nan,0.007120268422383003,0.0,0.0
0.0,0.9,0.0,nan,0.007120183156601234,0.0,0.0
0.1,0.1,0.4012410383749132,nan,0.00606629705158046,0.00031539111628942074,0.0030838516698427076
0.1,0.2,0.38588355727175483,nan,0.006075094353140353,0.000328861906896627,0.0030667544000374525
0.1,0.30000000000000004,0.2676053430548908,nan,0.006061888326108544,0.000353857762464993,0.0031881314877485467
0.1,0.4,0.3281199221867963,nan,0.006031020753226479,0.0004002917753310742,0.003689241566331436
0.1,0.5,0.3277877483209185,nan,0.006031138425561466,0.000401102146431076,0.003680421885615015
0.1,0.6000000000000001,0.49451646967948615,nan,0.006031172643602645,0.0006126532540405849,0.006343742271925801
0.1,0.7000000000000001,0.5600604130236257,nan,0.006025121104554221,0.0006258079547840634,0.012088134744031809
0.1,0.8,0.6759403102795353,nan,0.006024275761991271,0.0006283279612636639,0.0
0.1,0.9,0.6765215927818551,nan,0.006024299904936026,0.0006283025108989593,0.0
0.2,0.1,0.36943219088454315,nan,0.006548765118867816,0.0004969688361176061,0.003791526103853471
0.2,0.2,0.3790434751261751,nan,0.006556030637917432,0.000504190153584716,0.0038020227349094826
0.2,0.30000000000000004,0.3538443243737276,nan,0.006550677302307406,0.0005131199602801395,0.003991601052406923
0.2,0.4,0.4128369573723045,nan,0.006534682533600011,0.0005505646987973289,0.004320214405333256
0.2,0.5,0.41279048851801947,nan,0.006534753303697682,0.0005506406108811701,0.004318508550299582
0.2,0.6000000000000001,0.5038736922490814,nan,0.0065417135981620245,0.0006823002914003728,0.00961276563672775
0.2,0.7000000000000001,0.5697149736518274,nan,0.006536115992965996,0.0006915462970779052,0.03176910812222278
0.2,0.8,0.6505050289077465,nan,0.006536039010307637,0.0006932132267760682,0.0
0.2,0.9,0.6505349091299735,nan,0.006536042539932341,0.0006932089399220853,0.0
0.30000000000000004,0.1,0.3454007157825211,nan,0.006764253820794042,0.0005637419390164267,0.0038847512323906264
0.30000000000000004,0.2,0.35831342068519334,nan,0.006769435107660593,0.0005688239440075904,0.00387778153047047
0.30000000000000004,0.30000000000000004,0.3543880551460349,nan,0.006760581567342161,0.0005830316281082437,0.003992634044094001
0.30000000000000004,0.4,0.4174460412074855,nan,0.006754436796353902,0.0006025451166277174,0.004335401253332871
0.30000000000000004,0.5,0.41742046066894745,nan,0.006754493053470978,0.0006024854758185372,0.004337730899131698
0.30000000000000004,0.6000000000000001,0.5354279831379394,nan,0.006757230610363485,0.0006958336299300871,0.010291908956134965
0.30000000000000004,0.7000000000000001,0.5729083760492093,nan,0.006753873218033779,0.0007021107216138578,0.010242011057990497
0.30000000000000004,0.8,0.6579465703450229,nan,0.006753436291397685,0.0007030704066551818,0.0
0.30000000000000004,0.9,0.6579731887242484,nan,0.006753440544803535,0.0007030660698980062,0.0
0.4,0.1,0.40223242493361944,nan,0.006882182937501535,0.0006348795317272504,0.004040285243625541
0.4,0.2,0.3922452752586002,nan,0.006884066268396549,0.0006406904776092848,0.004043573622160679
0.4,0.30000000000000004,0.34557511850325784,nan,0.0068790270381293706,0.0006495572318265808,0.004170343432764789
0.4,0.4,0.3551069863985922,nan,0.006865602381961322,0.000669168743273052,0.004801516872648959
0.4,0.5,0.3545104838390438,nan,0.006865703057082673,0.0006692269108679039,0.004799180359016386
0.4,0.6000000000000001,0.5917712234876649,nan,0.006868677415683311,0.0007487257240621492,0.004066615715259236
0.4,0.7000000000000001,0.6232949887441012,nan,0.006868222043930117,0.0007497274475348759,0.010857413832747742
0.4,0.8,0.6960182664608833,nan,0.006868076669569456,0.0007499913225309518,0.0
0.4,0.9,0.6960372010676927,nan,0.006868079316095677,0.0007499882906401023,0.0
0.5,0.1,0.3770579766136257,nan,0.006941790392595348,0.0006737063393972287,0.0035851797133249486
0.5,0.2,0.3666238595880882,nan,0.006943598917908522,0.0006771993817551447,0.0035840925667905976
0.5,0.30000000000000004,0.35020377038533845,nan,0.00693881104748395,0.0006861014702029822,0.0036189433427109563
0.5,0.4,0.4014024327497212,nan,0.006930523690779178,0.0007009829074867691,0.0040009171778964125
0.5,0.5,0.39993009030765436,nan,0.006930558339920623,0.0007010909178838398,0.003995888577438933
0.5,0.6000000000000001,0.6166551844535477,nan,0.006932612799271709,0.0007546608502592145,0.003527752125072503
0.5,0.7000000000000001,0.646094719236404,nan,0.006932046722054386,0.0007556100274442867,0.0037346498832847574
0.5,0.8,0.6637674809576964,nan,0.00693200465969146,0.000755680493779054,0.0
0.5,0.9,0.6637883865538274,nan,0.0069320077032569705,0.0007556771286781894,0.0
0.6000000000000001,0.1,0.41801134599083034,nan,0.007001752306758813,0.0007113378474382648,0.00324004987806803
0.6000000000000001,0.2,0.4055493139000099,nan,0.007002791529823416,0.0007140435723120842,0.00323284494160192
0.6000000000000001,0.30000000000000004,0.4084908918748881,nan,0.007000676793049054,0.0007176306815929179,0.003354698879905027
0.6000000000000001,0.4,0.43178406871592145,nan,0.006994959076163987,0.0007239067416235923,0.003998510266228106
0.6000000000000001,0.5,0.43179205909559293,nan,0.006994992159779501,0.0007238685876570505,0.004001049499709031
0.6000000000000001,0.6000000000000001,0.5938404147882634,nan,0.00699684316257454,0.0007668328676594394,0.007442128898112466
0.6000000000000001,0.7000000000000001,0.6887254739602622,nan,0.006995588964803012,0.0007683798901148009,0.0
0.6000000000000001,0.8,0.6888648781857566,nan,0.0069958691221068126,0.000768496491665438,0.0
0.6000000000000001,0.9,0.6888798840363157,nan,0.006995871299273482,0.0007684941227695807,0.0
0.7000000000000001,0.1,0.4435375137806741,nan,0.007041441256037118,0.0007206304493402316,0.0035267565445419313
